1.000e+00	mua, absorption coefficient [1/cm]
100.0000	mus, scattering coefficient [1/cm]
0.9000	g, anisotropy [-]
1.4000	n1, refractive index of tissue
1.4000	n2, refractive index of outside medium
0	mcflag
0.0000	radius, radius of flat beam or 1/e radius of Gaussian beam [cm]
0.1000	waist, 1/e waist of focus [cm]
0.0000	xs, x position of isotropic source [cm]
0.0000	ys, y
0.0000	zs, z
101	NR
101	NZ
0.00200	dr
0.00200	dz
1.0e+07	Nphotons
0.000000e+00	Specular reflectance
5.918394e-01	Absorbed fraction
4.080947e-01	Escaping fraction
0.0	0.00133	0.00311	0.00507	0.00705	0.00904	0.01103	0.01303	0.01502	0.01702	0.01902	0.02102	0.02301	0.02501	0.02701	0.02901	0.03101	0.03301	0.03501	0.03701	0.03901	0.04101	0.04301	0.04501	0.04701	0.04901	0.05101	0.05301	0.05501	0.05701	0.05901	0.06101	0.06301	0.06501	0.06700	0.06900	0.07100	0.07300	0.07500	0.07700	0.07900	0.08100	0.08300	0.08500	0.08700	0.08900	0.09100	0.09300	0.09500	0.09700	0.09900	0.10100	0.10300	0.10500	0.10700	0.10900	0.11100	0.11300	0.11500	0.11700	0.11900	0.12100	0.12300	0.12500	0.12700	0.12900	0.13100	0.13300	0.13500	0.13700	0.13900	0.14100	0.14300	0.14500	0.14700	0.14900	0.15100	0.15300	0.15500	0.15700	0.15900	0.16100	0.16300	0.16500	0.16700	0.16900	0.17100	0.17300	0.17500	0.17700	0.17900	0.18100	0.18300	0.18500	0.18700	0.18900	0.19100	0.19300	0.19500	0.19700	0.19900	0.20100
0.0	2.729427490234e+02	9.229930114746e+01	5.594256591797e+01	4.095535659790e+01	3.191662979126e+01	2.602115058899e+01	2.200611114502e+01	1.940221595764e+01	1.698922157288e+01	1.518160057068e+01	1.396182346344e+01	1.264541625977e+01	1.172270202637e+01	1.089209175110e+01	1.008785343170e+01	9.384057998657e+00	8.873981475830e+00	8.317602157593e+00	7.953080177307e+00	7.517508506775e+00	7.181873321533e+00	6.755567073822e+00	6.424233913422e+00	6.146461009979e+00	5.911618232727e+00	5.612311840057e+00	5.402685165405e+00	5.229049205780e+00	5.020840644836e+00	4.783795833588e+00	4.641333580017e+00	4.414370059967e+00	4.268278121948e+00	4.167871952057e+00	3.969526290894e+00	3.885579347610e+00	3.773839473724e+00	3.613251924515e+00	3.547620773315e+00	3.381574630737e+00	3.248656988144e+00	3.147238731384e+00	3.026139736176e+00	2.983414649963e+00	2.845931529999e+00	2.784520864487e+00	2.674738168716e+00	2.647195100784e+00	2.514452695847e+00	2.457139015198e+00	2.364297389984e+00	2.336261749268e+00	2.229188442230e+00	2.208221673965e+00	2.149317026138e+00	2.088147163391e+00	2.020442008972e+00	1.984337687492e+00	1.919710755348e+00	1.925965189934e+00	1.803453922272e+00	1.752324700356e+00	1.728590965271e+00	1.685156583786e+00	1.632430195808e+00	1.587180852890e+00	1.549345374107e+00	1.516542792320e+00	1.467975616455e+00	1.430739879608e+00	1.378746747971e+00	1.340971708298e+00	1.320297598839e+00	1.278883576393e+00	1.244717478752e+00	1.221646070480e+00	1.185101270676e+00	1.170290946960e+00	1.135097026825e+00	1.116387724876e+00	1.091006636620e+00	1.061105608940e+00	1.036960244179e+00	1.004597067833e+00	9.684197306633e-01	9.506370425224e-01	9.207342863083e-01	9.150790572166e-01	8.807527422905e-01	8.478025794029e-01	8.307542800903e-01	8.125430345535e-01	7.981117367744e-01	7.751112580299e-01	7.530724406242e-01	7.272800207138e-01	7.131066322327e-01	7.041301727295e-01	6.905382871628e-01	6.634447574615e-01	4.579121780396e+01
0.00100	 8.043284e+04	 2.799563e+02	 1.417263e+02	 9.341116e+01	 7.157093e+01	 5.894159e+01	 4.913977e+01	 4.182382e+01	 3.681510e+01	 3.300163e+01	 2.942425e+01	 2.626785e+01	 2.487500e+01	 2.289754e+01	 2.108790e+01	 2.000355e+01	 1.837025e+01	 1.722806e+01	 1.627583e+01	 1.575295e+01	 1.509304e+01	 1.393162e+01	 1.312562e+01	 1.267266e+01	 1.229626e+01	 1.167298e+01	 1.092812e+01	 1.066843e+01	 1.024752e+01	 9.724092e+00	 9.483879e+00	 9.103173e+00	 8.904285e+00	 8.522426e+00	 8.134966e+00	 7.816411e+00	 7.619622e+00	 7.432891e+00	 7.094966e+00	 6.935214e+00	 6.596642e+00	 6.373592e+00	 6.136381e+00	 5.947393e+00	 5.659322e+00	 5.542232e+00	 5.447017e+00	 5.201402e+00	 4.934707e+00	 4.870831e+00	 4.788809e+00	 4.637089e+00	 4.491808e+00	 4.439605e+00	 4.284510e+00	 4.156456e+00	 3.925532e+00	 3.919662e+00	 3.861487e+00	 3.666484e+00	 3.593476e+00	 3.449427e+00	 3.422322e+00	 3.287457e+00	 3.226137e+00	 3.168408e+00	 3.006693e+00	 2.915916e+00	 2.894074e+00	 2.769316e+00	 2.706296e+00	 2.679990e+00	 2.572372e+00	 2.515813e+00	 2.511410e+00	 2.402576e+00	 2.348644e+00	 2.283587e+00	 2.206234e+00	 2.196213e+00	 2.097007e+00	 2.066279e+00	 2.022636e+00	 1.934033e+00	 1.935796e+00	 1.851128e+00	 1.775821e+00	 1.775394e+00	 1.731990e+00	 1.676796e+00	 1.632902e+00	 1.561344e+00	 1.580956e+00	 1.498173e+00	 1.454605e+00	 1.464358e+00	 1.398224e+00	 1.365607e+00	 1.309324e+00	 1.279493e+00	 8.734635e+01
0.00300	 7.950391e+04	 6.425076e+02	 2.322312e+02	 1.327289e+02	 9.499789e+01	 7.373622e+01	 5.967150e+01	 5.073380e+01	 4.262849e+01	 3.816492e+01	 3.439184e+01	 3.092457e+01	 2.851950e+01	 2.598865e+01	 2.423048e+01	 2.222570e+01	 2.060218e+01	 1.981663e+01	 1.847639e+01	 1.742483e+01	 1.654259e+01	 1.577938e+01	 1.496819e+01	 1.413604e+01	 1.363938e+01	 1.284722e+01	 1.235574e+01	 1.177339e+01	 1.122594e+01	 1.066614e+01	 1.024875e+01	 1.002033e+01	 9.559402e+00	 9.281878e+00	 8.991199e+00	 8.569068e+00	 8.355985e+00	 8.012507e+00	 7.694520e+00	 7.342185e+00	 7.144015e+00	 6.988395e+00	 6.532007e+00	 6.530651e+00	 6.313572e+00	 5.951062e+00	 5.867593e+00	 5.679353e+00	 5.441905e+00	 5.301837e+00	 5.207126e+00	 5.076728e+00	 4.818698e+00	 4.684889e+00	 4.755159e+00	 4.542466e+00	 4.308746e+00	 4.200229e+00	 4.189046e+00	 4.051163e+00	 4.000062e+00	 3.778846e+00	 3.789248e+00	 3.625536e+00	 3.494454e+00	 3.451035e+00	 3.306114e+00	 3.227952e+00	 3.190773e+00	 3.071064e+00	 2.983842e+00	 2.915145e+00	 2.791806e+00	 2.790582e+00	 2.707129e+00	 2.584524e+00	 2.557184e+00	 2.492613e+00	 2.444694e+00	 2.284825e+00	 2.287548e+00	 2.204365e+00	 2.208073e+00	 2.085407e+00	 2.074439e+00	 1.978198e+00	 1.980820e+00	 1.901456e+00	 1.853734e+00	 1.828949e+00	 1.745479e+00	 1.723134e+00	 1.655590e+00	 1.608012e+00	 1.595440e+00	 1.573471e+00	 1.509927e+00	 1.455965e+00	 1.433713e+00	 1.374019e+00	 9.456503e+01
0.00500	 7.674958e+04	 1.211871e+03	 3.724249e+02	 1.907348e+02	 1.232715e+02	 9.161623e+01	 7.058288e+01	 5.803800e+01	 4.989349e+01	 4.369830e+01	 3.918452e+01	 3.493501e+01	 3.186915e+01	 2.899531e+01	 2.620668e+01	 2.461344e+01	 2.317748e+01	 2.106823e+01	 2.031912e+01	 1.894537e+01	 1.792666e+01	 1.694182e+01	 1.573030e+01	 1.518721e+01	 1.440640e+01	 1.371197e+01	 1.340435e+01	 1.262477e+01	 1.203323e+01	 1.139759e+01	 1.112797e+01	 1.065717e+01	 1.031436e+01	 9.812955e+00	 9.384343e+00	 9.296569e+00	 8.867826e+00	 8.516114e+00	 8.324137e+00	 7.801382e+00	 7.778061e+00	 7.341074e+00	 7.084876e+00	 7.043913e+00	 6.645069e+00	 6.435022e+00	 6.207191e+00	 6.090649e+00	 5.861588e+00	 5.696234e+00	 5.441194e+00	 5.334083e+00	 5.192039e+00	 5.169799e+00	 4.867620e+00	 4.824090e+00	 4.635149e+00	 4.569070e+00	 4.409471e+00	 4.274133e+00	 4.149537e+00	 3.981074e+00	 3.961905e+00	 3.850688e+00	 3.720414e+00	 3.673002e+00	 3.579846e+00	 3.357327e+00	 3.393089e+00	 3.231267e+00	 3.179229e+00	 3.036292e+00	 2.976152e+00	 2.930877e+00	 2.901620e+00	 2.771042e+00	 2.667383e+00	 2.678527e+00	 2.488852e+00	 2.469020e+00	 2.394918e+00	 2.324192e+00	 2.348055e+00	 2.216003e+00	 2.201171e+00	 2.109860e+00	 2.058269e+00	 2.041497e+00	 1.937212e+00	 1.917596e+00	 1.885159e+00	 1.813049e+00	 1.751168e+00	 1.699577e+00	 1.690369e+00	 1.643763e+00	 1.599812e+00	 1.523806e+00	 1.533198e+00	 1.439614e+00	 9.956976e+01
0.00700	 7.231997e+04	 1.949603e+03	 5.543847e+02	 2.660428e+02	 1.626109e+02	 1.125530e+02	 8.697801e+01	 7.035433e+01	 5.724651e+01	 4.961585e+01	 4.324525e+01	 3.854853e+01	 3.476989e+01	 3.177894e+01	 2.900389e+01	 2.705277e+01	 2.484720e+01	 2.304033e+01	 2.173969e+01	 2.029542e+01	 1.915139e+01	 1.815859e+01	 1.723668e+01	 1.616534e+01	 1.560925e+01	 1.485388e+01	 1.403043e+01	 1.322811e+01	 1.281967e+01	 1.215197e+01	 1.198560e+01	 1.144312e+01	 1.074652e+01	 1.027049e+01	 9.939787e+00	 9.642129e+00	 9.320286e+00	 8.977201e+00	 8.789631e+00	 8.554673e+00	 8.098289e+00	 7.794589e+00	 7.493393e+00	 7.033216e+00	 7.209674e+00	 6.923023e+00	 6.558188e+00	 6.417851e+00	 6.173064e+00	 5.983623e+00	 5.901585e+00	 5.674969e+00	 5.519151e+00	 5.285092e+00	 5.203839e+00	 5.192627e+00	 4.902500e+00	 4.777296e+00	 4.724380e+00	 4.453028e+00	 4.460289e+00	 4.199548e+00	 4.115039e+00	 4.029794e+00	 3.857701e+00	 3.687601e+00	 3.738879e+00	 3.531081e+00	 3.497802e+00	 3.408515e+00	 3.246961e+00	 3.238863e+00	 3.100971e+00	 3.077054e+00	 2.994406e+00	 2.937183e+00	 2.798753e+00	 2.760102e+00	 2.648763e+00	 2.638721e+00	 2.499170e+00	 2.483103e+00	 2.407799e+00	 2.257481e+00	 2.272727e+00	 2.235579e+00	 2.186425e+00	 2.104678e+00	 2.034145e+00	 2.014734e+00	 1.970639e+00	 1.882516e+00	 1.870360e+00	 1.832631e+00	 1.797181e+00	 1.702330e+00	 1.687042e+00	 1.607895e+00	 1.585488e+00	 1.567910e+00	 1.044861e+02
0.00900	 6.704799e+04	 2.743767e+03	 7.645089e+02	 3.510992e+02	 2.063491e+02	 1.398503e+02	 1.022574e+02	 8.084682e+01	 6.562811e+01	 5.612780e+01	 4.936860e+01	 4.364684e+01	 3.858294e+01	 3.491185e+01	 3.169101e+01	 2.916968e+01	 2.639290e+01	 2.493890e+01	 2.323323e+01	 2.199825e+01	 2.029037e+01	 1.920033e+01	 1.850698e+01	 1.744662e+01	 1.627304e+01	 1.591575e+01	 1.495808e+01	 1.411769e+01	 1.315469e+01	 1.276485e+01	 1.249150e+01	 1.206573e+01	 1.159007e+01	 1.073437e+01	 1.061046e+01	 1.002443e+01	 9.740251e+00	 9.395705e+00	 8.946914e+00	 8.944258e+00	 8.483458e+00	 8.110342e+00	 7.921909e+00	 7.748226e+00	 7.331536e+00	 7.221970e+00	 6.940116e+00	 6.653591e+00	 6.675178e+00	 6.352614e+00	 6.148973e+00	 6.009138e+00	 5.724805e+00	 5.685435e+00	 5.462894e+00	 5.379562e+00	 5.054866e+00	 4.886654e+00	 4.871156e+00	 4.827728e+00	 4.659694e+00	 4.524866e+00	 4.361011e+00	 4.210516e+00	 4.012639e+00	 3.949100e+00	 3.917613e+00	 3.775331e+00	 3.656064e+00	 3.555913e+00	 3.356827e+00	 3.368712e+00	 3.280792e+00	 3.192107e+00	 3.113066e+00	 3.102262e+00	 2.910215e+00	 2.864559e+00	 2.767581e+00	 2.726110e+00	 2.597299e+00	 2.606120e+00	 2.527605e+00	 2.485032e+00	 2.313172e+00	 2.307652e+00	 2.307702e+00	 2.182559e+00	 2.134656e+00	 2.092997e+00	 2.076116e+00	 1.998944e+00	 1.974312e+00	 1.888275e+00	 1.876486e+00	 1.805821e+00	 1.773400e+00	 1.690134e+00	 1.671415e+00	 1.590304e+00	 1.088171e+02
0.01100	 6.121135e+04	 3.495731e+03	 9.881785e+02	 4.456606e+02	 2.537462e+02	 1.692856e+02	 1.219315e+02	 9.506865e+01	 7.618497e+01	 6.281157e+01	 5.427002e+01	 4.765973e+01	 4.255132e+01	 3.781741e+01	 3.415098e+01	 3.076190e+01	 2.894253e+01	 2.678676e+01	 2.483973e+01	 2.344927e+01	 2.184973e+01	 2.071713e+01	 1.923506e+01	 1.837233e+01	 1.753836e+01	 1.648295e+01	 1.563164e+01	 1.484099e+01	 1.431144e+01	 1.360039e+01	 1.301503e+01	 1.231805e+01	 1.211167e+01	 1.141100e+01	 1.099024e+01	 1.068693e+01	 1.026966e+01	 9.873014e+00	 9.601502e+00	 9.335763e+00	 8.887643e+00	 8.576433e+00	 8.253773e+00	 7.988384e+00	 7.604918e+00	 7.435334e+00	 7.196186e+00	 6.916296e+00	 6.657814e+00	 6.528117e+00	 6.390088e+00	 6.273805e+00	 5.957860e+00	 5.836443e+00	 5.667505e+00	 5.426460e+00	 5.200806e+00	 5.236928e+00	 5.070022e+00	 4.874903e+00	 4.777699e+00	 4.574324e+00	 4.458775e+00	 4.437811e+00	 4.179965e+00	 4.098083e+00	 4.000109e+00	 3.945328e+00	 3.795045e+00	 3.656565e+00	 3.592661e+00	 3.457925e+00	 3.379212e+00	 3.330832e+00	 3.281482e+00	 3.183964e+00	 3.102247e+00	 2.983679e+00	 2.900348e+00	 2.821017e+00	 2.722475e+00	 2.696777e+00	 2.628256e+00	 2.489055e+00	 2.428124e+00	 2.384415e+00	 2.329511e+00	 2.329826e+00	 2.220409e+00	 2.160052e+00	 2.143611e+00	 2.089796e+00	 2.012888e+00	 1.938895e+00	 1.909190e+00	 1.889402e+00	 1.781736e+00	 1.748486e+00	 1.686380e+00	 1.665340e+00	 1.128882e+02
0.01300	 5.521127e+04	 4.144025e+03	 1.235191e+03	 5.466990e+02	 3.128519e+02	 2.011397e+02	 1.440561e+02	 1.085048e+02	 8.685978e+01	 7.268284e+01	 6.161448e+01	 5.334553e+01	 4.609229e+01	 4.132584e+01	 3.759735e+01	 3.404542e+01	 3.150606e+01	 2.868194e+01	 2.648908e+01	 2.448631e+01	 2.292197e+01	 2.182067e+01	 2.043892e+01	 1.948077e+01	 1.847229e+01	 1.725730e+01	 1.627829e+01	 1.549044e+01	 1.501928e+01	 1.430360e+01	 1.367987e+01	 1.326117e+01	 1.226941e+01	 1.204418e+01	 1.150739e+01	 1.102901e+01	 1.058967e+01	 1.017881e+01	 9.891256e+00	 9.548716e+00	 9.131640e+00	 8.822452e+00	 8.648716e+00	 8.337503e+00	 8.095564e+00	 7.760072e+00	 7.471663e+00	 7.215147e+00	 7.116827e+00	 6.922940e+00	 6.521868e+00	 6.327161e+00	 6.168980e+00	 5.925282e+00	 5.741977e+00	 5.655678e+00	 5.485928e+00	 5.460480e+00	 5.219505e+00	 5.025955e+00	 4.974655e+00	 4.604446e+00	 4.681273e+00	 4.491822e+00	 4.366067e+00	 4.289801e+00	 4.124581e+00	 4.059326e+00	 3.901054e+00	 3.806539e+00	 3.673234e+00	 3.613814e+00	 3.594050e+00	 3.495637e+00	 3.346206e+00	 3.278835e+00	 3.150219e+00	 3.109800e+00	 3.018541e+00	 2.993820e+00	 2.832441e+00	 2.768004e+00	 2.736233e+00	 2.660267e+00	 2.540114e+00	 2.469662e+00	 2.378216e+00	 2.400223e+00	 2.353215e+00	 2.226003e+00	 2.186786e+00	 2.164604e+00	 2.061353e+00	 2.068763e+00	 2.012447e+00	 1.936949e+00	 1.868963e+00	 1.840043e+00	 1.781335e+00	 1.742678e+00	 1.171539e+02
0.01500	 4.905803e+04	 4.681935e+03	 1.463568e+03	 6.601363e+02	 3.655161e+02	 2.350504e+02	 1.674886e+02	 1.256829e+02	 9.926309e+01	 8.066335e+01	 6.876466e+01	 5.823594e+01	 5.106643e+01	 4.478652e+01	 4.010202e+01	 3.662410e+01	 3.284784e+01	 3.075230e+01	 2.822356e+01	 2.619044e+01	 2.475105e+01	 2.310630e+01	 2.144137e+01	 2.030745e+01	 1.919347e+01	 1.794019e+01	 1.705232e+01	 1.623623e+01	 1.558021e+01	 1.480489e+01	 1.407637e+01	 1.365538e+01	 1.302289e+01	 1.244529e+01	 1.211511e+01	 1.164578e+01	 1.110272e+01	 1.063181e+01	 1.042714e+01	 1.003790e+01	 9.699047e+00	 9.209484e+00	 8.852613e+00	 8.577787e+00	 8.411810e+00	 8.082582e+00	 7.849020e+00	 7.613821e+00	 7.550732e+00	 7.116988e+00	 6.781143e+00	 6.726574e+00	 6.390791e+00	 6.354623e+00	 6.058993e+00	 5.861450e+00	 5.678036e+00	 5.532948e+00	 5.469595e+00	 5.259204e+00	 5.104459e+00	 5.029259e+00	 4.748871e+00	 4.659050e+00	 4.471002e+00	 4.386624e+00	 4.326396e+00	 4.168036e+00	 4.080291e+00	 3.941008e+00	 3.848272e+00	 3.809648e+00	 3.738941e+00	 3.619470e+00	 3.559300e+00	 3.393436e+00	 3.245693e+00	 3.143916e+00	 3.177937e+00	 3.003407e+00	 2.936102e+00	 2.805215e+00	 2.806908e+00	 2.750393e+00	 2.681058e+00	 2.537919e+00	 2.486207e+00	 2.452481e+00	 2.372630e+00	 2.357201e+00	 2.295998e+00	 2.187982e+00	 2.186658e+00	 2.107733e+00	 2.031344e+00	 1.997829e+00	 1.941608e+00	 1.858836e+00	 1.796875e+00	 1.810692e+00	 1.209323e+02
